timeStamp,elapsed,label,responseMessage
1354360336119,502,listCategories,OK
1354360336421,200,listCategories,OK
1354360336220,401,listCategories,OK
1354360336015,613,listCategories,OK
1354360336522,107,listCategories,OK
1354360336320,312,listCategories,OK
1354360336629,8,listCategories,OK
1354360336625,70,listMovieByCategory,OK
1354360362942,9,listCategories,OK
1354360362953,46,listMovieByCategory,OK
1354360363002,9,viewCart,OK
1354360363044,4,listCategories,OK
1354360363051,43,listMovieByCategory,OK
1354360363098,5,viewCart,OK
1354360363144,5,listCategories,OK
1354360363151,52,listMovieByCategory,OK
1354360363207,7,viewCart,OK
1354360363243,41,listCategories,OK
1354360363287,51,listMovieByCategory,OK
1354360363344,9,viewCart,OK
1354360363348,5,listCategories,OK
1354360363357,63,listMovieByCategory,OK
1354360363427,7,viewCart,OK
1354360363447,64,listCategories,OK
1354360363514,78,listMovieByCategory,OK
1354360363569,60,listCategories,OK
1354360363603,31,viewCart,OK
1354360363632,75,listMovieByCategory,OK
1354360363713,30,viewCart,OK
1354360363748,5,listCategories,OK
1354360363665,100,listCategories,OK
1354360363756,72,listMovieByCategory,OK
1354360363848,105,listCategories,OK
1354360363893,70,viewCart,OK
1354360363956,51,listMovieByCategory,OK
1354360364012,10,viewCart,OK
1354360363768,271,listMovieByCategory,OK
1354360364045,17,viewCart,OK
1354360364064,4399,searchMovie,OK
1354360368470,383,searchUser,OK
1354360368861,21,signInUser,OK
1354360368888,15,listCategories,OK
1354360368905,26,listMovieByCategory,OK
1354360368937,6,viewCart,OK
1354360363357,5640,searchMovie,OK
1354360369002,46,searchUser,OK
1354360369054,19,signInUser,OK
1354360369075,5,listCategories,OK
1354360369082,32,listMovieByCategory,OK
1354360369119,6,viewCart,OK
1354360363013,6379,searchMovie,OK
1354360369399,38,searchUser,OK
1354360369445,15,signInUser,OK
1354360369463,4,listCategories,OK
1354360369470,51,listMovieByCategory,OK
1354360369527,197,viewCart,OK
1354360363105,6723,searchMovie,OK
1354360369836,77,searchUser,OK
1354360369920,54,signInUser,OK
1354360369976,5,listCategories,OK
1354360369983,21,listMovieByCategory,OK
1354360370009,23,viewCart,OK
